gamename,year,month,avg,gain,peak,avg_peak_perc
Dota 2,2021,February,404832.13,-27839.52,651615,62.1275%
Dota 2,2021,January,432671.65,10119.33,694613,62.2896%
Dota 2,2020,December,422552.32,-3352.52,697833,60.5521%
Dota 2,2020,November,425904.83,19543.48,711824,59.8329%
Dota 2,2020,October,406361.36,-2248.43,723280,56.1831%
Dota 2,2020,September,408609.78,-21107.34,670547,60.9368%
Dota 2,2020,August,429717.12,-20496.87,666138,64.5087%
Dota 2,2020,July,450213.99,-6970.43,712610,63.1782%
Dota 2,2020,June,457184.42,-27004.6,733294,62.3467%
Dota 2,2020,May,484189.02,-9111.25,793135,61.0475%
Dota 2,2020,April,493300.27,56152.91,801121,61.5763%
Dota 2,2020,March,437147.36,31168.71,743933,58.7617%
Dota 2,2020,February,405978.65,27053.22,663812,61.1587%
Dota 2,2020,January,378925.43,-5254.32,616415,61.4725%
Dota 2,2019,December,384179.76,-17752.05,685165,56.0711%
Dota 2,2019,November,401931.8,13575.94,708517,56.7286%
Dota 2,2019,October,388355.86,-33615.38,739924,52.4859%
Dota 2,2019,September,421971.24,-45177.05,753996,55.9647%
Dota 2,2019,August,467148.29,2360.67,826690,56.5083%
Dota 2,2019,July,464787.61,-42740.82,779160,59.6524%
Dota 2,2019,June,507528.44,-40994.74,865374,58.6485%
Dota 2,2019,May,548523.18,28304.2,997341,54.9986%
Dota 2,2019,April,520218.98,-66286.87,971545,53.5455%
Dota 2,2019,March,586505.85,21596.18,1033925,56.7262%
Dota 2,2019,February,564909.67,89162.67,964921,58.5447%
Dota 2,2019,January,475747,36379.17,874888,54.378%
Dota 2,2018,December,439367.83,-21705.66,765422,57.402%
Dota 2,2018,November,461073.48,29899.57,826053,55.8165%
Dota 2,2018,October,431173.91,-35296.83,739643,58.2949%
Dota 2,2018,September,466470.74,-9630.34,826166,56.4621%
Dota 2,2018,August,476101.08,34386.73,829281,57.4113%
Dota 2,2018,July,441714.35,-32185.65,701582,62.9598%
Dota 2,2018,June,473900,-425.87,796886,59.469%
Dota 2,2018,May,474325.87,43984.93,844713,56.1523%
Dota 2,2018,April,430340.94,-6921.4,733214,58.6924%
Dota 2,2018,March,437262.35,-1585.37,773897,56.5014%
Dota 2,2018,February,438847.72,-48014.2,779299,56.3131%
Dota 2,2018,January,486861.91,-26212.42,778627,62.5283%
Dota 2,2017,December,513074.33,25693.09,864939,59.3191%
Dota 2,2017,November,487381.24,21254.45,861173,56.595%
Dota 2,2017,October,466126.79,-25323.37,832550,55.9878%
Dota 2,2017,September,491450.16,-65046.14,829555,59.2426%
Dota 2,2017,August,556496.3,58051.92,876395,63.4983%
Dota 2,2017,July,498444.38,-56844.7,824297,60.469%
Dota 2,2017,June,555289.07,-12237.35,923122,60.1534%
Dota 2,2017,May,567526.42,27248.39,972876,58.3349%
Dota 2,2017,April,540278.03,-8157.41,921318,58.6419%
Dota 2,2017,March,548435.44,-43131.81,956232,57.3538%
Dota 2,2017,February,591567.25,11285.78,1040877,56.8335%
Dota 2,2017,January,580281.47,-13639.13,1007451,57.599%
Dota 2,2016,December,593920.6,9669.27,1014671,58.5333%
Dota 2,2016,November,584251.33,-55103.82,1007270,58.0034%
Dota 2,2016,October,639355.14,16771.24,1141191,56.0253%
Dota 2,2016,September,622583.9,-43429.15,1064377,58.4928%
Dota 2,2016,August,666013.05,27800.4,1117519,59.5975%
Dota 2,2016,July,638212.65,-2014.33,1084198,58.865%
Dota 2,2016,June,640226.98,16428.3,1095994,58.4152%
Dota 2,2016,May,623798.67,-33145.7,1075307,58.0112%
Dota 2,2016,April,656944.37,-15610.52,1164041,56.4365%
Dota 2,2016,March,672554.89,-36623.36,1291328,52.0824%
Dota 2,2016,February,709178.26,97003.48,1248394,56.8072%
Dota 2,2016,January,612174.78,38830.53,1067949,57.3225%
Dota 2,2015,December,573344.25,33807.92,999452,57.3659%
Dota 2,2015,November,539536.33,17594.62,943635,57.1764%
Dota 2,2015,October,521941.72,13784.86,917306,56.8994%
Dota 2,2015,September,508156.85,-98787.12,888728,57.178%
Dota 2,2015,August,606943.98,51952.97,933942,64.9873%
Dota 2,2015,July,554991.01,-13457.32,877264,63.2639%
Dota 2,2015,June,568448.32,-11900.1,913997,62.1937%
Dota 2,2015,May,580348.42,54286.7,967674,59.9735%
Dota 2,2015,April,526061.73,-45651.42,929677,56.5854%
Dota 2,2015,March,571713.15,-57257.26,1213940,47.0957%
Dota 2,2015,February,628970.41,70466.07,1262612,49.815%
Dota 2,2015,January,558504.33,34564.01,961737,58.0725%
Dota 2,2014,December,523940.32,-4849.48,936583,55.9417%
Dota 2,2014,November,528789.8,33096.77,963810,54.8645%
Dota 2,2014,October,495693.04,17694.59,880655,56.2869%
Dota 2,2014,September,477998.45,-12885.44,864261,55.3072%
Dota 2,2014,August,490883.89,-46134.77,774319,63.3956%
Dota 2,2014,July,537018.66,23235.6,874975,61.3753%
Dota 2,2014,June,513783.06,31395.81,833145,61.6679%
Dota 2,2014,May,482387.24,60677.03,843024,57.2211%
Dota 2,2014,April,421710.21,11954.66,734998,57.3757%
Dota 2,2014,March,409755.56,-11358.65,698197,58.6877%
Dota 2,2014,February,421114.2,27253.88,738682,57.0089%
Dota 2,2014,January,393860.32,27253.83,673496,58.48%
Dota 2,2013,December,366606.49,18360.12,685503,53.4799%
Dota 2,2013,November,348246.37,18568.73,702792,49.5518%
Dota 2,2013,October,329677.64,17252.88,581615,56.6831%
Dota 2,2013,September,312424.76,-18295.3,566715,55.1291%
Dota 2,2013,August,330720.07,92919.98,520532,63.535%
Dota 2,2013,July,237800.08,27575.26,422617,56.2685%
Dota 2,2013,June,210224.82,15860.98,326160,64.4545%
Dota 2,2013,May,194363.84,19528.11,325815,59.6547%
Dota 2,2013,April,174835.73,-6043.17,299667,58.3433%
Dota 2,2013,March,180878.9,13905.93,325598,55.5528%
Dota 2,2013,February,166972.97,19224.82,283870,58.8202%
Dota 2,2013,January,147748.14,25823.72,260989,56.6109%
Dota 2,2012,December,121924.42,20846.99,213521,57.1018%
Dota 2,2012,November,101077.43,25111.99,169631,59.5866%
Dota 2,2012,October,75965.44,14097.77,171860,44.2019%
Dota 2,2012,September,61867.68,6099.07,118724,52.1105%
Dota 2,2012,August,55768.61,3047.56,108689,51.3103%
